symbol,price,spread_median,spread_max,samples,atr14_h4_median,est_stop,drag_R,drag_R_tight_1ATR,verdict,note
US100.sim,29968.3,0.8000000000010914,1.2999999999992724,12,199.33457528619448,276.07838677137937,0.00289772774086648,0.004013352921100075,ATTACH,
BTCUSD.sim,85285.0,4.0,28.0,12,865.037521704513,1198.0769675607505,0.003338683664158808,0.00462407687485995,ATTACH,
USDCAD.sim,1.39966,2.0000000000131024e-05,2.999999999997449e-05,12,0.0020875214678637505,0.0028912172329912944,0.006917501657057688,0.009580739795024898,ATTACH,
XAGUSD.sim,66.752,0.010499999999993292,0.017000000000010118,12,0.9814905028206993,1.3593643464066685,0.007724198466547176,0.010698014876167838,ATTACH,
EURUSD.sim,1.1486,2.0000000000131024e-05,2.999999999997449e-05,12,0.0018301413599329584,0.0025347457835071473,0.007890337615024433,0.01092811759680884,ATTACH,
US30.sim,52147.1,2.5,3.5,12,210.1797578834301,291.0989646685507,0.00858814459490275,0.011894580263940307,ATTACH,
AUDUSD.sim,0.71356,1.999999999990898e-05,3.0000000000085514e-05,12,0.0016545685446893764,0.0022915774343947866,0.008727612560555278,0.012087743396369062,ATTACH,
XAUUSD.sim,4359.36,0.46499999999969077,0.6199999999998909,12,37.048822745364376,51.31261950232966,0.009062098261784885,0.012551006092572065,ATTACH,
US500.sim,7704.9,0.4000000000005457,0.6000000000003638,12,29.27170196732211,40.54130722474112,0.009866480076311844,0.013665074905691904,ATTACH,
USDJPY.sim,157.333,0.0049999999999954525,0.008000000000009777,12,0.33944162038934755,0.4701266442392464,0.010635432093167993,0.014730073449037671,ATTACH,
USDCHF.sim,0.8215,2.999999999997449e-05,4.0000000000040004e-05,12,0.001956857730019499,0.002710247956077006,0.011069097915084676,0.015330700612392275,ATTACH,
GBPUSD.sim,1.3390900000000001,3.999999999992898e-05,6.000000000017103e-05,12,0.0024933117080218736,0.0034532367156102947,0.011583335662773912,0.01604291989294187,ATTACH,
NZDUSD.sim,0.57307,2.999999999997449e-05,4.0000000000040004e-05,12,0.0017090191679278027,0.0023669915475800067,0.012674316488644099,0.017553928336772075,ATTACH,
USDMXN.sim,17.1901,0.0006499999999984851,0.0009900000000016007,12,0.03661754349875121,0.050715297745770424,0.012816645645202667,0.01775105421860569,ATTACH,
USDZAR.sim,16.2608,0.0013100000000001444,0.0024599999999992406,12,0.06073278606527849,0.0841149087004107,0.015573933565878651,0.02156989798874193,ATTACH,
USOIL.sim,97.656,0.030000000000001137,0.04100000000001103,12,1.3883738467577604,1.9228977777594982,0.01560145336220432,0.02160801290665298,ATTACH,
AUDJPY.sim,112.266,0.006000000000000227,0.006999999999990791,12,0.2722329619348104,0.3770426522797124,0.0159133189938126,0.02203994680643045,ATTACH,
USDCNH.sim,6.69222,8.999999999925734e-05,0.00011000000000027654,12,0.003940031548697185,0.005456943694945602,0.016492748510969293,0.022842456687692473,EXCLUDED,managed price (coach ruling) - excluded regardless of cost
EURJPY.sim,180.728,0.007499999999993179,0.00899999999998613,12,0.32485743272287426,0.4499275443211809,0.016669350642465452,0.02308705063981465,ATTACH,
EURCAD.sim,1.60758,5.999999999994898e-05,8.000000000008001e-05,12,0.002261218513709297,0.0031317876414873763,0.01915838711575388,0.026534366155319122,ATTACH,
CADJPY.sim,112.422,0.006999999999997897,0.007000000000005002,12,0.24235413183486415,0.33566047259128684,0.020854406674572515,0.02888335324428293,ATTACH,
USDSGD.sim,1.27495,4.999999999988347e-05,7.00000000000145e-05,12,0.0016583645643971192,0.00229683492169001,0.02176908733305635,0.030150185956283045,ATTACH,
GBPJPY.sim,210.69,0.01300000000000523,0.014000000000010004,12,0.4306656194424503,0.5964718829277936,0.021794824487274204,0.030185831914874773,ATTACH,
EURAUD.sim,1.60964,8.500000000011276e-05,0.00010000000000021103,12,0.002795576602364413,0.003871873594274712,0.02195319602525277,0.030405176494975088,ATTACH,
EURGBP.sim,0.85772,2.999999999997449e-05,4.0000000000040004e-05,12,0.0009836433441185463,0.0013623460316041867,0.02202083707371244,0.030498859347091727,ATTACH,
AUDCAD.sim,0.99866,6.0000000000060005e-05,7.00000000000145e-05,12,0.0019413286059506768,0.0026887401192416875,0.022315284236909427,0.03090666866811956,ATTACH,
EURCHF.sim,0.94359,4.0000000000040004e-05,4.999999999999449e-05,12,0.0012781366082989594,0.0017702192024940588,0.02259607168631098,0.0312955592855407,ATTACH,
