signal_id,posid,bar_time,action,price,lots_before,lots_after,sl_after,banked_r,open_r
2,4,2024.01.30 04:00:00,AUTO_1R,1.08153,1.60,0.80,1.08298,0.00,1.00
9,17,2024.02.13 12:00:00,AUTO_1R,1.07372,0.69,0.35,1.07701,0.00,1.00
11,22,2024.03.04 12:00:00,AUTO_1R,1.08623,1.15,0.58,1.08428,0.00,1.01
12,25,2024.03.05 12:00:00,AUTO_1R,1.08601,2.37,1.19,1.08509,0.00,1.03
13,28,2024.03.06 12:00:00,AUTO_1R,1.08835,1.11,0.56,1.08630,0.00,1.00
18,35,2024.03.26 08:00:00,AUTO_1R,1.08509,2.79,1.40,1.08433,0.00,1.01
22,44,2024.05.20 16:00:00,AUTO_1R,1.08689,2.83,1.42,1.08617,0.00,1.00
23,47,2024.05.28 08:00:00,AUTO_1R,1.08807,1.12,0.56,1.08607,0.00,1.01
24,50,2024.06.03 16:00:00,AUTO_1R,1.08963,0.53,0.27,1.08537,0.00,1.00
