id,time,exit,detector,dir,regime,class,r_off,r_on,swap_R,comm_R,nights,stop,price,lots_spec,suppressed,terminal
36,2019-01-24 12:00:00,2019-01-24 19:05:36,TrendCont,SELL,TREND_DOWN,DISCRETION,-1.010,-1.236,-0.000,-0.097,0,23.85,3556.44,10.48,False,SL
37,2019-01-25 16:00:00,2019-01-28 05:17:08,TrendCont,SELL,TREND_DOWN,DISCRETION,2.500,2.224,-0.073,-0.087,1,26.61,3546.64,9.39,False,TP
38,2019-01-30 16:00:00,2019-01-31 00:57:28,TrendCont,SELL,TREND_DOWN,DISCRETION,-1.010,-1.287,-0.072,-0.086,1,26.05,3436.49,9.59,False,SL
39,2019-01-31 08:00:00,2019-02-03 22:00:05,SweepMSS,BUY,TREND_DOWN,TAKE,0.330,0.085,-0.110,-0.056,2,39.24,3409.01,6.37,False,end
40,2019-02-04 00:00:00,2019-02-08 14:03:56,TrendCont,SELL,TREND_DOWN,DISCRETION,0.490,0.224,-0.136,-0.054,4,41.06,3413.19,6.08,False,BE
41,2019-02-13 04:00:00,2019-02-15 11:04:24,EMArevQ,SELL,TREND_DOWN,DISCRETION,0.450,0.215,-0.099,-0.059,2,39.81,3589.49,6.2700000000000005,False,BE
42,2019-02-21 20:00:00,2019-02-24 22:00:16,DeepFib,BUY,TREND_DOWN,TAKE,-1.830,-2.258,-0.200,-0.103,2,24.65,3900.20,10.14,False,end
43,2019-02-25 20:00:00,2019-02-26 15:34:58,TrendCont,SELL,TREND_DOWN,DISCRETION,0.560,0.395,-0.045,-0.053,1,46.53,3818.30,5.37,False,BE
44,2019-02-27 12:00:00,2019-02-27 20:35:20,TrendCont,SELL,TREND_DOWN,DISCRETION,2.520,2.323,-0.000,-0.087,0,28.24,3798.05,8.85,False,TP
45,2019-03-21 12:00:00,2019-03-27 01:37:32,TrendCont,SELL,TREND_DOWN,DISCRETION,0.510,0.380,-0.070,-0.028,4,93.49,3965.80,2.67,False,BE
47,2019-04-19 04:00:00,2019-04-21 21:01:03,TrendCont,BUY,TREND_UP,DISCRETION,0.420,0.261,-0.040,-0.062,1,54.64,5247.76,4.57,False,end
48,2019-04-21 20:00:00,2019-04-22 16:14:00,TrendCont,BUY,TREND_UP,DISCRETION,0.500,0.399,-0.000,-0.053,0,64.41,5297.65,3.88,False,BE
49,2019-04-24 12:00:00,2019-04-25 22:01:10,TrendCont,BUY,TREND_UP,DISCRETION,-1.000,-1.128,-0.052,-0.040,1,87.76,5459.65,2.84,False,SL
