signal_id,signal_time,symbol,strategy,direction,orig_entry,orig_sl,orig_tp,orig_tp1,orig_tp2,entry,sl,tp,tp1,tp2,partial_frac,lots,decision,skip_reason,edited,is_pending,decision_ms,posid,tp1_done,exit_time,exit_price,pnl,r_multiple,regime,with_trend,to_entry,to_sl,to_tp1,to_tp2,mfe_r,pre_dip_r,post_dip_r,dipped,terminal,decision_class,rt_tp1r,rt_tp2r,rt_touched1,rt_reached2,rt_redip1,rt_bankr,stop_pre_floor,stop_post_floor,floor_applied,costed_r,cost_swap_r,cost_comm_r,cost_spread_r,cost_nights
56,2023.10.30 08:00:00,BTCUSD.dk,TrendCont,BUY,34609.40,34094.45,36669.20,35639.30,36669.20,34609.40,34094.45,36669.20,35639.30,36669.20,0.50,0.47,approved,0,0,0,0,134,0,2023.10.30 17:16:33,34089.75,-244.24,-1.01,TREND_UP,1,34609.40,34094.45,35639.30,36669.20,0.48,0.48,0.45,1,SL,DISCRETION,2.000,4.000,0,0,0,-99.000,514.95,514.95,0,-1.060,-0.000,-0.044,-0.006,0
57,2023.10.30 20:00:00,BTCUSD.dk,TrendCont,BUY,34490.95,34059.90,36215.14,35353.05,36215.14,34490.95,34059.90,36215.14,35353.05,36215.14,0.50,0.56,approved,0,0,0,0,136,0,2023.10.31 08:06:38,34058.39,-242.23,-1.00,TREND_UP,1,34490.95,34059.90,35353.05,36215.14,0.26,0.26,0.01,1,SL,DISCRETION,2.000,4.000,0,0,0,-99.000,431.05,431.05,0,-1.127,-0.067,-0.052,-0.007,1
58,2023.11.01 04:00:00,BTCUSD.dk,TrendCont,BUY,34453.40,33978.05,35065.29,34759.34,35065.29,34453.40,33978.05,35065.29,34759.34,35065.29,0.50,0.50,approved,0,0,0,0,138,1,2023.11.01 13:21:06,35068.35,230.55,0.97,TREND_UP,1,34453.40,33978.05,34759.34,35065.29,1.29,1.29,0.00,0,TP,DISCRETION,0.644,1.287,1,1,1,0.646,152.97,475.35,1,0.916,-0.000,-0.047,-0.007,0
59,2023.11.02 16:00:00,BTCUSD.dk,TrendCont,BUY,34993.65,34275.19,37867.48,36430.57,37867.48,34993.65,34275.19,37867.48,36430.57,37867.48,0.50,0.33,approved,0,0,0,0,141,0,2023.11.03 08:49:21,34263.35,-250.02,-1.02,TREND_UP,1,34993.65,34275.19,36430.57,37867.48,0.15,0.15,0.00,0,SL,DISCRETION,2.000,4.000,0,0,0,-99.000,718.46,718.46,0,-1.097,-0.041,-0.032,-0.004,1
60,2023.11.07 16:00:00,BTCUSD.dk,TrendCont,BUY,35457.25,34496.85,39298.85,37378.05,39298.85,35457.25,34496.85,39298.85,37378.05,39298.85,0.50,0.24,approved,0,0,0,0,143,1,2023.11.11 00:00:03,37320.85,318.94,1.47,TREND_UP,1,35457.25,34496.85,37378.05,39298.85,2.62,0.46,2.62,1,end,DISCRETION,2.000,4.000,1,0,1,1.003,960.40,960.40,0,1.350,-0.093,-0.024,-0.003,4
61,2023.11.13 04:00:00,BTCUSD.dk,TrendCont,BUY,36975.25,36583.15,37803.93,37389.59,37803.93,36975.25,36583.15,37803.93,37389.59,37803.93,0.50,0.61,approved,0,0,0,0,146,0,2023.11.13 14:46:26,36581.25,-240.34,-1.00,TREND_UP,1,36975.25,36583.15,37389.59,37803.93,0.20,0.20,0.00,0,SL,DISCRETION,1.057,2.113,0,0,0,-99.000,207.17,392.10,1,-1.069,-0.000,-0.061,-0.008,0
62,2023.11.19 20:00:00,BTCUSD.dk,TrendCont,BUY,37382.56,36370.77,41429.71,39406.14,41429.71,37382.56,36370.77,41429.71,39406.14,41429.71,0.50,0.23,approved,0,0,0,0,148,0,2023.11.21 15:03:22,36367.75,-240.15,-1.00,TREND_UP,1,37382.56,36370.77,39406.14,41429.71,0.37,0.26,0.37,1,SL,DISCRETION,2.000,4.000,0,0,0,-99.000,1011.79,1011.79,0,-1.058,-0.031,-0.024,-0.003,1
63,2023.11.22 16:00:00,BTCUSD.dk,SweepMSS,SELL,37300.25,38173.54,36256.46,36604.39,36256.46,37300.25,38173.54,36256.46,36604.39,36256.46,0.00,0.27,approved,0,0,0,0,150,1,2023.11.24 15:26:49,38192.95,-252.89,-1.02,TREND_UP,0,37300.25,38173.54,36604.39,36256.46,0.47,0.47,0.10,1,end,TAKE,0.797,1.195,0,0,0,-99.000,347.93,873.29,1,-1.098,-0.047,-0.028,-0.004,2
64,2023.11.28 00:00:00,BTCUSD.dk,SweepMSS,SELL,37128.89,38407.43,33293.27,34571.81,33293.27,37128.89,38407.43,33293.27,34571.81,33293.27,0.00,0.18,approved,0,0,0,0,152,1,2023.11.29 09:52:13,38418.10,-236.06,-1.01,TREND_UP,0,37128.89,38407.43,34571.81,33293.27,0.20,0.20,0.00,0,SL,TAKE,2.000,3.000,0,0,0,-99.000,1278.54,1278.54,0,-1.047,-0.016,-0.019,-0.002,1
65,2023.11.29 16:00:00,BTCUSD.dk,TrendCont,BUY,37876.90,37258.02,39222.64,38549.77,39222.64,37876.90,37258.02,39222.64,38549.77,39222.64,0.50,0.37,approved,0,0,0,0,154,1,2023.12.02 00:00:00,38705.55,241.97,1.18,TREND_UP,1,37876.90,37258.02,38549.77,39222.64,1.79,0.44,1.79,1,end,DISCRETION,1.087,2.174,1,0,1,1.007,336.43,618.88,1,1.006,-0.129,-0.040,-0.005,3
66,2023.12.13 12:00:00,BTCUSD.dk,TrendCont,BUY,41918.85,40576.73,47287.34,44603.10,47287.34,41918.85,40576.73,47287.34,44603.10,47287.34,0.50,0.17,approved,0,0,0,0,157,1,2023.12.14 13:30:41,41905.44,103.29,0.47,TREND_UP,1,41918.85,40576.73,44603.10,47287.34,1.14,1.14,0.00,1,BE,DISCRETION,2.000,4.000,0,0,0,1.001,1342.12,1342.12,0,0.434,-0.013,-0.020,-0.002,1
67,2023.12.14 16:00:00,BTCUSD.dk,TrendCont,BUY,43101.15,41442.67,49735.06,46418.11,49735.06,43101.15,41442.67,49735.06,46418.11,49735.06,0.50,0.14,approved,0,0,0,0,160,0,2023.12.16 00:00:04,41935.44,-172.50,-0.70,TREND_UP,1,43101.15,41442.67,46418.11,49735.06,0.05,0.05,0.00,0,end,DISCRETION,2.000,4.000,0,0,0,-99.000,1658.48,1658.48,0,-0.763,-0.044,-0.017,-0.002,2
68,2023.12.18 12:00:00,BTCUSD.dk,SweepMSS,SELL,41255.75,42853.72,36461.85,38059.82,36461.85,41255.75,42853.72,36461.85,38059.82,36461.85,0.00,0.14,approved,0,0,0,0,162,1,2023.12.19 00:10:15,42858.65,-227.92,-1.00,TREND_UP,0,41255.75,42853.72,38059.82,36461.85,0.07,0.07,0.00,0,SL,TAKE,2.000,3.000,0,0,0,-99.000,1597.97,1597.97,0,-1.033,-0.014,-0.017,-0.002,1
69,2023.12.20 00:00:00,BTCUSD.dk,TrendCont,BUY,42412.40,41529.41,45057.81,43735.11,45057.81,42412.40,41529.41,45057.81,43735.11,45057.81,0.50,0.26,approved,0,0,0,0,164,1,2023.12.23 00:00:01,44011.10,309.59,1.41,TREND_UP,1,42412.40,41529.41,43735.11,45057.81,2.25,2.25,0.00,0,end,DISCRETION,1.498,2.996,1,0,1,1.003,661.35,882.99,1,1.315,-0.061,-0.031,-0.003,3
70,2023.12.25 20:00:00,BTCUSD.dk,SweepMSS,SELL,43581.65,44460.08,40946.37,41824.80,40946.37,43581.65,44460.08,40946.37,41824.80,40946.37,0.00,0.26,approved,0,0,0,0,167,1,2023.12.27 22:14:24,43583.60,111.16,0.50,TREND_UP,0,43581.65,44460.08,41824.80,40946.37,2.20,2.20,0.00,1,BE,TAKE,2.000,3.000,1,0,1,1.004,878.43,878.43,0,0.424,-0.041,-0.032,-0.004,2
